Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A01003B_001,SE_A01003B_002,SE_A01003B_003,SE_A01003B_004,SE_A01003B_005,SE_A01003B_006,SE_A01003B_007,SE_A01003B_008,SE_A01003B_009,SE_A01003B_010,SE_A12005B_001,SE_A12005B_002,SE_A12005B_003,SE_A12005B_004,SE_A12005B_005,SE_A14003B_001,SE_A14003B_002,SE_A14003B_003,SE_A14003B_004,SE_A14003B_005,SE_A14003B_006,SE_A14003B_007,SE_A14003B_008,SE_A14003B_009,SE_A14003B_010,SE_A14003B_011,SE_A14003B_012,SE_A14016_001,SE_A14028_001,SE_A10036_001,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10038_010,SE_A10038_011,SE_A10039B_001,SE_A10039B_002,SE_A10039B_003,SE_A10039B_004,SE_A10039B_005,SE_A10039B_006,SE_A10039B_007,SE_A10039B_008,SE_A10039B_009,SE_A10039B_010,SE_A10039B_011,SE_A10039B_012,SE_A10039B_013,SE_A10039B_014,SE_A10039B_015,SE_A10039B_016,SE_A10039B_017,SE_A10039B_018,SE_A10039B_019,SE_A10039B_020,SE_A10039B_021,SE_A10039B_022,SE_A10039B_023
"78778723","86000US78723","ZCTA5 78723","ZCTA5 78723","us","860","00","ACSSF","0037987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78723",,,,,,,,,,,,,35725,22094,6724,119,1003,0,4371,1414,7285,509,2541,1463,1115,474,390,419,286,88,7285,1746,1452,1803,2284,7285,413,414,438,618,710,900,972,1150,784,550,336,37784,0.4908,338100,7285,243,142,704,1540,2783,1134,425,128,25,161,7285,1651,0,129,1522,1590,25,9,1556,972,66,334,572,1127,208,598,321,1640,1002,555,83,144,161
"78778724","86000US78724","ZCTA5 78724","ZCTA5 78724","us","860","00","ACSSF","0037988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78724",,,,,,,,,,,,,25723,11176,5344,325,83,31,8008,756,2369,123,879,779,343,120,25,68,19,13,2369,935,700,543,191,2369,251,10,286,48,203,386,461,391,71,210,52,35015,0.4114,147400,2369,0,34,67,430,1406,314,79,0,0,39,2369,455,0,0,455,589,0,0,589,461,17,139,305,391,52,153,186,333,267,66,0,101,39
"78778725","86000US78725","ZCTA5 78725","ZCTA5 78725","us","860","00","ACSSF","0037989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78725",,,,,,,,,,,,,8469,3368,1406,0,113,0,3372,210,466,0,119,107,105,12,111,12,0,0,466,130,122,197,17,466,50,0,34,0,0,42,173,107,40,13,7,39000,0.3998,167700,466,0,0,10,50,137,233,0,7,0,29,466,84,0,0,84,42,0,0,42,156,0,0,156,107,10,34,63,48,48,0,0,0,29
"78778726","86000US78726","ZCTA5 78726","ZCTA5 78726","us","860","00","ACSSF","0037990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78726",,,,,,,,,,,,,14040,10579,475,39,2104,0,336,507,3450,272,1558,556,609,202,59,194,0,0,3450,59,294,1354,1743,3450,115,58,92,26,94,363,762,806,414,540,180,60977,0.4556,473500,3450,0,33,0,327,2353,587,150,0,0,0,3450,291,0,0,291,457,33,0,424,762,0,299,463,806,174,499,133,1134,615,519,0,0,0
"78778727","86000US78727","ZCTA5 78727","ZCTA5 78727","us","860","00","ACSSF","0037991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78727",,,,,,,,,,,,,30561,20098,2659,230,5737,0,459,1378,7166,374,3192,1666,840,325,273,363,92,41,7166,177,907,1993,4089,7166,189,111,74,137,152,532,1128,2127,1214,871,631,62101,0.3585,295200,7166,0,18,74,440,3937,2208,404,59,0,26,7166,370,0,0,370,684,0,0,684,1124,0,300,824,2127,124,1269,734,2694,1813,805,76,141,26
"78778728","86000US78728","ZCTA5 78728","ZCTA5 78728","us","860","00","ACSSF","0037992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78728",,,,,,,,,,,,,21125,13924,3303,111,1882,0,829,1076,7357,342,2333,1931,1170,423,212,609,143,194,7357,273,2034,2352,2698,7357,165,214,269,458,371,972,1412,1500,923,702,371,48818,0.4177,257500,7357,0,80,451,1226,4206,1036,159,86,63,50,7357,1019,0,36,983,1336,10,140,1186,1412,52,578,782,1483,232,1046,205,1996,1550,337,109,61,50
"78778729","86000US78729","ZCTA5 78729","ZCTA5 78729","us","860","00","ACSSF","0037993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78729",,,,,,,,,,,,,28644,22875,1414,9,2689,0,680,977,6808,394,2902,1259,1158,410,171,273,151,90,6808,102,909,2287,3510,6808,52,66,47,170,237,770,1226,1651,964,1086,539,62138,0.3744,285500,6808,48,0,122,755,3882,1389,485,66,42,19,6808,301,0,0,301,1007,0,14,993,1207,59,250,898,1651,107,1165,379,2589,2007,517,65,34,19
"78778730","86000US78730","ZCTA5 78730","ZCTA5 78730","us","860","00","ACSSF","0037994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78730",,,,,,,,,,,,,9803,8467,108,0,668,0,63,497,1608,43,612,291,451,27,57,112,15,0,1608,43,238,382,945,1608,16,33,0,14,0,38,230,632,294,215,136,72014,0.5068,730800,1608,0,0,0,83,1007,395,29,64,30,0,1608,63,0,0,63,38,0,0,38,230,0,29,201,632,63,354,215,645,456,174,15,0,0
"78778731","86000US78731","ZCTA5 78731","ZCTA5 78731","us","860","00","ACSSF","0037995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78731",,,,,,,,,,,,,27298,22876,394,72,2546,0,480,930,5267,393,2455,723,531,313,221,218,109,304,5267,89,435,1071,3672,5267,244,299,181,139,130,635,777,1199,625,586,452,54372,0.5263,636800,5267,6,40,169,707,2466,1102,317,131,266,63,5267,718,0,0,718,740,0,16,724,772,70,255,447,1178,218,609,351,1651,979,625,47,145,63
"78778732","86000US78732","ZCTA5 78732","ZCTA5 78732","us","860","00","ACSSF","0037996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78732",,,,,,,,,,,,,17780,15271,107,0,1925,0,5,472,1265,49,390,213,69,0,140,0,228,176,1265,41,193,304,727,1265,0,41,0,15,59,0,142,337,214,131,326,85047,0.4212,536800,1265,0,0,0,0,337,415,53,141,287,32,1265,56,0,0,56,59,0,0,59,142,0,0,142,305,0,62,243,671,387,196,88,0,32
"78778733","86000US78733","ZCTA5 78733","ZCTA5 78733","us","860","00","ACSSF","0037997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78733",,,,,,,,,,,,,8927,6846,100,0,1484,4,53,440,320,7,20,148,20,69,6,42,8,0,320,6,20,33,261,320,0,6,7,42,0,35,26,17,0,108,79,131467,0.4508,623900,320,0,0,0,6,51,70,12,65,77,39,320,42,0,0,42,14,0,0,14,26,0,0,26,12,0,5,7,187,127,52,8,0,39
"78778734","86000US78734","ZCTA5 78734","ZCTA5 78734","us","860","00","ACSSF","0037998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78734",,,,,,,,,,,,,19452,17819,325,16,440,0,58,794,1417,5,161,331,308,68,135,203,128,78,1417,33,146,495,743,1417,21,24,25,78,52,132,120,363,115,245,242,67014,0.4365,421300,1417,0,0,18,8,368,447,203,149,168,56,1417,123,0,0,123,162,0,0,162,120,0,0,120,354,10,106,238,602,243,316,43,0,56
"78778735","86000US78735","ZCTA5 78735","ZCTA5 78735","us","860","00","ACSSF","0037999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78735",,,,,,,,,,,,,18122,15223,534,0,1589,0,233,543,3608,348,1447,405,440,210,200,128,223,207,3608,111,373,1044,2080,3608,70,40,122,0,138,327,354,1105,594,510,348,62910,0.5359,496200,3608,13,0,91,34,1457,1283,276,67,276,111,3608,211,0,0,211,452,0,20,432,354,0,96,258,1051,36,489,526,1408,951,445,12,21,111
"78778736","86000US78736","ZCTA5 78736","ZCTA5 78736","us","860","00","ACSSF","0038000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78736",,,,,,,,,,,,,10163,9547,32,14,280,0,63,227,919,49,324,141,181,119,20,70,15,0,919,0,128,382,409,919,21,34,0,15,24,14,153,176,122,316,44,80565,0.4269,344200,919,0,0,0,69,342,313,195,0,0,0,919,49,0,0,49,38,0,0,38,153,0,20,133,176,0,119,57,482,224,243,15,21,0
"78778737","86000US78737","ZCTA5 78737","ZCTA5 78737","us","860","00","ACSSF","0038001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78737",,,,,,,,,,,,,17173,15178,403,20,690,0,287,595,433,0,42,101,117,39,11,32,39,52,433,43,19,165,206,433,13,0,2,0,0,0,84,129,28,66,111,60987,0.3987,454600,433,0,0,24,40,120,34,90,68,43,14,433,1,0,0,1,0,0,0,0,84,24,0,60,129,0,90,39,205,141,64,0,0,14
