"FIPS","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Householder 15 to 24 Years","Renter-Occupied Housing Units: Householder 25 to 34 Years","Renter-Occupied Housing Units: Householder 35 to 44 Years","Renter-Occupied Housing Units: Householder 45 to 54 Years","Renter-Occupied Housing Units: Householder 55 to 59 Years","Renter-Occupied Housing Units: Householder 60 to 64 Years","Renter-Occupied Housing Units: Householder 65 to 74 Years","Renter-Occupied Housing Units: Householder 75 to 84 Years","Renter-Occupied Housing Units: Householder 85 Years and Over","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than High School Graduate","Renter-Occupied Housing Units: High School Graduate (Including Equivalency)","Renter-Occupied Housing Units: Some College or Associate's Degree","Renter-Occupied Housing Units: Bachelor's Degree or Higher","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than $5,000","Renter-Occupied Housing Units: $5,000 to $9,999","Renter-Occupied Housing Units: $10,000 to $14,999","Renter-Occupied Housing Units: $15,000 to $19,999","Renter-Occupied Housing Units: $20,000 to $24,999","Renter-Occupied Housing Units: $25,000 to $34,999","Renter-Occupied Housing Units: $35,000 to $49,999","Renter-Occupied Housing Units: $50,000 to $74,999","Renter-Occupied Housing Units: $75,000 to $99,999","Renter-Occupied Housing Units: $100,000 to $149,999","Renter-Occupied Housing Units: $150,000 or More","Median Household Income in the Past 12 Months (In 2014 Inflation-Adjusted Dollars) ","Gini Index","Median Value","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than $300","Renter-Occupied Housing Units: $300 to $499","Renter-Occupied Housing Units: $500 to $799","Renter-Occupied Housing Units: $800 to $999","Renter-Occupied Housing Units: $1,000 to $1,249","Renter-Occupied Housing Units: $1,250 to $1,499","Renter-Occupied Housing Units: $1,500 to $1,999","Renter-Occupied Housing Units: $2,000 or More","Renter-Occupied Housing Units: No Cash Rent","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than $20,000","Renter-Occupied Housing Units: Less than $20,000: Less than 20 Percent","Renter-Occupied Housing Units: Less than $20,000: 20 to 29 Percent","Renter-Occupied Housing Units: Less than $20,000: 30 Percent or More","Renter-Occupied Housing Units: $20,000 to $34,999","Renter-Occupied Housing Units: $20,000 to $34,999: Less than 20 Percent","Renter-Occupied Housing Units: $20,000 to $34,999: 20 to 29 Percent","Renter-Occupied Housing Units: $20,000 to $34,999: 30 Percent or More","Renter-Occupied Housing Units: $35,000 to $49,999","Renter-Occupied Housing Units: $35,000 to $49,999: Less than 20 Percent","Renter-Occupied Housing Units: $35,000 to $49,999: 20 to 29 Percent","Renter-Occupied Housing Units: $35,000 to $49,999: 30 Percent or More","Renter-Occupied Housing Units: $50,000 to $74,999","Renter-Occupied Housing Units: $50,000 to $74,999: Less than 20 Percent","Renter-Occupied Housing Units: $50,000 to $74,999: 20 to 29 Percent","Renter-Occupied Housing Units: $50,000 to $74,999: 30 Percent or More","Renter-Occupied Housing Units: $75,000 or More","Renter-Occupied Housing Units: $75,000 or More: Less than 20 Percent","Renter-Occupied Housing Units: $75,000 or More: 20 to 29 Percent","Renter-Occupied Housing Units: $75,000 or More: 30 Percent or More","Renter-Occupied Housing Units: Zero or Negative Income","Renter-Occupied Housing Units: No Cash Rent"
"78778722","78722 ZCTA5","78722 ZCTA5","us","860","00","ACSSF","0037863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78722",,,,,,,,,,,"86000US78722",,,"3922403","0",6514,4925,726,48,224,35,293,263,1670,195,891,185,150,124,34,51,17,23,1670,79,97,479,1015,1670,60,59,74,115,121,153,466,254,146,191,31,43389,0.4469,288600,1670,22,9,246,465,262,325,160,110,71,1670,296,0,8,288,263,0,39,224,417,5,227,185,247,74,142,31,368,299,63,6,8,71
"78778723","78723 ZCTA5","78723 ZCTA5","us","860","00","ACSSF","0037864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78723",,,,,,,,,,,"86000US78723",,,"17971826","0",30955,20656,6985,135,597,0,1736,846,6715,796,2194,1452,892,500,346,334,184,17,6715,1826,1551,1743,1595,6715,448,627,773,583,549,984,885,1079,445,232,110,28077,0.4691,189100,6715,272,200,2331,1641,840,506,663,138,124,6715,2274,77,100,2097,1508,0,473,1035,857,93,416,348,1062,406,450,206,754,580,141,33,136,124
"78778724","78724 ZCTA5","78724 ZCTA5","us","860","00","ACSSF","0037865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78724",,,,,,,,,,,"86000US78724",,,"63183777","5117792",23313,14311,5987,64,67,0,1767,1117,2532,155,1033,822,247,126,109,23,17,0,2532,1017,696,772,47,2532,129,297,247,285,377,379,540,169,43,55,11,24240,0.4123,97900,2532,31,57,504,850,679,266,114,0,31,2532,914,0,0,914,756,31,75,650,534,135,160,239,169,16,115,38,109,104,5,0,19,31
"78778725","78725 ZCTA5","78725 ZCTA5","us","860","00","ACSSF","0037866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78725",,,,,,,,,,,"86000US78725",,,"45515870","1828078",7612,3831,3089,0,40,0,235,417,501,0,195,212,48,16,15,15,0,0,501,81,221,92,107,501,52,40,15,0,0,119,78,108,60,17,12,41250,0.2739,115800,501,0,0,15,63,63,257,72,19,12,501,95,0,0,95,119,0,0,119,78,0,15,63,108,0,81,27,89,77,12,0,0,12
"78778726","78726 ZCTA5","78726 ZCTA5","us","860","00","ACSSF","0037867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78726",,,,,,,,,,,"86000US78726",,,"28152254","34415",12786,10026,467,0,1880,0,210,203,3209,503,1199,731,624,17,76,0,59,0,3209,65,456,1230,1458,3209,248,37,146,62,82,437,633,937,285,158,184,48466,0.4471,350500,3209,0,0,351,1061,1054,574,127,42,0,3209,370,0,0,370,519,0,111,408,633,0,356,277,937,285,559,93,627,576,51,0,123,0
"78778727","78727 ZCTA5","78727 ZCTA5","us","860","00","ACSSF","0037868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78727",,,,,,,,,,,"86000US78727",,,"22212535","879",29506,20308,1935,228,5170,0,729,1136,6784,813,2553,1524,1065,288,217,161,69,94,6784,409,823,2402,3150,6784,277,102,131,226,510,870,1068,1412,1086,877,225,52342,0.3805,206400,6784,27,0,445,1699,2073,1407,849,277,7,6784,598,0,0,598,1380,27,65,1288,1068,32,470,566,1405,405,668,332,2188,1843,313,32,138,7
"78778728","78728 ZCTA5","78728 ZCTA5","us","860","00","ACSSF","0037869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78728",,,,,,,,,,,"86000US78728",,,"21002465","47256",20794,13920,3115,195,1939,58,752,815,6572,836,2400,1356,942,264,195,377,79,123,6572,213,1478,2780,2101,6572,335,131,274,408,399,1085,1578,1245,575,437,105,41099,0.4084,175200,6572,0,8,1305,2327,1795,477,376,89,195,6572,1052,0,0,1052,1470,0,128,1342,1578,61,918,599,1135,516,519,100,1071,900,171,0,71,195
"78778729","78729 ZCTA5","78729 ZCTA5","us","860","00","ACSSF","0037870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78729",,,,,,,,,,,"86000US78729",,,"23892699","138740",28786,21627,3154,35,2418,0,406,1146,7191,652,2254,1944,1326,279,426,134,37,139,7191,196,1307,2911,2777,7191,157,232,236,368,342,931,1825,1469,1025,438,168,43198,0.4022,198600,7191,27,0,1126,2122,1947,1158,591,181,39,7191,946,12,15,919,1273,0,112,1161,1798,38,900,860,1469,471,873,125,1619,1238,343,38,47,39
"78778730","78730 ZCTA5","78730 ZCTA5","us","860","00","ACSSF","0037871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78730",,,,,,,,,,,"86000US78730",,,"37269755","1196694",8591,7786,30,0,470,0,190,115,1415,202,609,144,231,107,0,103,19,0,1415,0,86,516,813,1415,17,49,75,35,0,175,90,518,100,255,101,60837,0.5195,557000,1415,0,0,34,249,567,384,73,41,67,1415,176,0,0,176,175,0,0,175,90,0,19,71,464,31,379,54,443,332,95,16,0,67
"78778731","78731 ZCTA5","78731 ZCTA5","us","860","00","ACSSF","0037872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78731",,,,,,,,,,,"86000US78731",,,"22253088","551387",26412,22428,751,95,2115,10,367,646,5168,782,2032,1034,416,149,241,141,146,227,5168,73,481,1207,3407,5168,467,236,178,230,374,709,709,958,548,571,188,42175,0.5215,452500,5168,12,24,842,1080,1246,694,863,338,69,5168,898,0,0,898,1053,0,146,907,703,12,382,309,943,186,474,283,1289,962,241,86,213,69
