postal_code,customer_class,total_gallons,type,year,month
78613,Commercial,2880800,commercial,2012,1
78613,Irrigation - Commercial,855400,commercial,2012,1
78617,Austin Water Utility,438700,commercial,2012,1
78617,City of Austin,6500300,commercial,2012,1
78617,Commercial,9162600,commercial,2012,1
78617,Irrigation - City of Austin,0,commercial,2012,1
78617,Irrigation - Commercial,585800,commercial,2012,1
78640,Commercial,57900,commercial,2012,1
78652,Commercial,156300,commercial,2012,1
78652,Irrigation - Commercial,39900,commercial,2012,1
78653,Commercial,101600,commercial,2012,1
78653,Irrigation - Commercial,50900,commercial,2012,1
78653,Wholesale,0,commercial,2012,1
78660,Commercial,3635300,commercial,2012,1
78660,Irrigation - Commercial,1538500,commercial,2012,1
78660,Wholesale,26510300,commercial,2012,1
78681,City of Austin,3500,commercial,2012,1
78681,Irrigation - City of Austin,26000,commercial,2012,1
78701,Austin Water Utility,96000,commercial,2012,1
78701,City of Austin,3688300,commercial,2012,1
78701,Commercial,58017300,commercial,2012,1
78701,Irrigation - City of Austin,691500,commercial,2012,1
78701,Irrigation - Commercial,1335900,commercial,2012,1
78701,Large Volume,174400,commercial,2012,1
78702,Austin Water Utility,78000,commercial,2012,1
78702,City of Austin,1029600,commercial,2012,1
78702,Commercial,26550300,commercial,2012,1
78702,Irrigation - City of Austin,732600,commercial,2012,1
78702,Irrigation - Commercial,1327600,commercial,2012,1
78703,Austin Water Utility,0,commercial,2012,1
78703,City of Austin,898000,commercial,2012,1
78703,Commercial,16286500,commercial,2012,1
78703,Irrigation - City of Austin,143100,commercial,2012,1
78703,Irrigation - Commercial,904800,commercial,2012,1
78704,Austin Water Utility,605800,commercial,2012,1
78704,City of Austin,1171000,commercial,2012,1
78704,Commercial,33067000,commercial,2012,1
78704,Irrigation - City of Austin,71500,commercial,2012,1
78704,Irrigation - Commercial,1991300,commercial,2012,1
78705,City of Austin,83300,commercial,2012,1
78705,Commercial,25113800,commercial,2012,1
78705,Irrigation - City of Austin,400,commercial,2012,1
78705,Irrigation - Commercial,917600,commercial,2012,1
78705,Large Volume,2735600,commercial,2012,1
78710,Commercial,55900,commercial,2012,1
78710,Irrigation - Commercial,218300,commercial,2012,1
78712,Commercial,4236900,commercial,2012,1
78712,Irrigation - Commercial,529800,commercial,2012,1
78712,Irrigation - Large Volume,11155600,commercial,2012,1
78712,Large Volume,7472900,commercial,2012,1
78714,Commercial,246200,commercial,2012,1
78714,Irrigation - Commercial,30000,commercial,2012,1
78717,City of Austin,0,commercial,2012,1
78717,Commercial,4208700,commercial,2012,1
78717,Irrigation - City of Austin,0,commercial,2012,1
78717,Irrigation - Commercial,3921900,commercial,2012,1
78719,Austin Water Utility,137700,commercial,2012,1
78719,City of Austin,2625100,commercial,2012,1
78719,Commercial,3383200,commercial,2012,1
78719,Irrigation - City of Austin,115300,commercial,2012,1
78719,Irrigation - Commercial,340200,commercial,2012,1
78719,Wholesale,1615400,commercial,2012,1
78721,Austin Water Utility,11100,commercial,2012,1
78721,City of Austin,90100,commercial,2012,1
78721,Commercial,7376200,commercial,2012,1
78721,Irrigation - City of Austin,10200,commercial,2012,1
78721,Irrigation - Commercial,362600,commercial,2012,1
78722,City of Austin,40700,commercial,2012,1
78722,Commercial,4666300,commercial,2012,1
78722,Irrigation - City of Austin,1923000,commercial,2012,1
78722,Irrigation - Commercial,211800,commercial,2012,1
78723,Austin Water Utility,0,commercial,2012,1
78723,City of Austin,172400,commercial,2012,1
78723,Commercial,13654800,commercial,2012,1
78723,Irrigation - City of Austin,1000,commercial,2012,1
78723,Irrigation - Commercial,2431500,commercial,2012,1
78724,Austin Water Utility,800900,commercial,2012,1
78724,City of Austin,1395100,commercial,2012,1
78724,Commercial,3482300,commercial,2012,1
78724,Irrigation - City of Austin,0,commercial,2012,1
78724,Irrigation - Commercial,2256000,commercial,2012,1
78725,Austin Water Utility,233500,commercial,2012,1
78725,City of Austin,25100,commercial,2012,1
78725,Commercial,5222100,commercial,2012,1
78725,Irrigation - Commercial,80600,commercial,2012,1
78725,Large Volume,21456100,commercial,2012,1
78725,Wholesale,1166100,commercial,2012,1
78726,Austin Water Utility,0,commercial,2012,1
78726,City of Austin,301000,commercial,2012,1
78726,Commercial,6281400,commercial,2012,1
78726,Irrigation - Commercial,1740200,commercial,2012,1
78727,City of Austin,27000,commercial,2012,1
78727,Commercial,13484000,commercial,2012,1
78727,Irrigation - City of Austin,0,commercial,2012,1
78727,Irrigation - Commercial,2461200,commercial,2012,1
78728,Commercial,3083900,commercial,2012,1
78728,Irrigation - Commercial,1144600,commercial,2012,1
78728,Large Volume,17888000,commercial,2012,1
78728,Wholesale,37528200,commercial,2012,1
78729,City of Austin,12900,commercial,2012,1
78729,Commercial,9458700,commercial,2012,1
78729,Irrigation - City of Austin,0,commercial,2012,1
78729,Irrigation - Commercial,2042800,commercial,2012,1
78729,Wholesale,24256800,commercial,2012,1
78730,Commercial,2140800,commercial,2012,1
78730,Irrigation - Commercial,1936800,commercial,2012,1
78731,Austin Water Utility,0,commercial,2012,1
78731,City of Austin,87600,commercial,2012,1
78731,Commercial,18718900,commercial,2012,1
78731,Irrigation - City of Austin,8000,commercial,2012,1
78731,Irrigation - Commercial,2361500,commercial,2012,1
78732,Commercial,3538400,commercial,2012,1
78732,Irrigation - Commercial,6900,commercial,2012,1
78735,Austin Water Utility,0,commercial,2012,1
78735,City of Austin,289000,commercial,2012,1
78735,Commercial,7290200,commercial,2012,1
78735,Irrigation - Commercial,2491100,commercial,2012,1
78735,Large Volume,12060000,commercial,2012,1
78735,Wholesale,339100,commercial,2012,1
78736,Commercial,1369400,commercial,2012,1
78736,Irrigation - Commercial,309300,commercial,2012,1
78737,Commercial,1137400,commercial,2012,1
78737,Irrigation - Commercial,161100,commercial,2012,1
78737,Wholesale,478000,commercial,2012,1
78739,City of Austin,9000,commercial,2012,1
78739,Commercial,1453300,commercial,2012,1
78739,Irrigation - City of Austin,0,commercial,2012,1
78739,Irrigation - Commercial,931100,commercial,2012,1
78739,Wholesale,10531500,commercial,2012,1
78741,Austin Water Utility,34000,commercial,2012,1
78741,City of Austin,295400,commercial,2012,1
78741,Commercial,14762100,commercial,2012,1
78741,Irrigation - City of Austin,266200,commercial,2012,1
78741,Irrigation - Commercial,2225600,commercial,2012,1
78741,Large Volume,31206300,commercial,2012,1
78742,Commercial,378700,commercial,2012,1
78742,Irrigation - Commercial,39900,commercial,2012,1
78744,Austin Water Utility,355000,commercial,2012,1
78744,City of Austin,989100,commercial,2012,1
78744,Commercial,20377700,commercial,2012,1
78744,Irrigation - City of Austin,848300,commercial,2012,1
78744,Irrigation - Commercial,3662100,commercial,2012,1
78745,City of Austin,196200,commercial,2012,1
78745,Commercial,26969000,commercial,2012,1
78745,Irrigation - City of Austin,3200,commercial,2012,1
78745,Irrigation - Commercial,4055800,commercial,2012,1
78745,Wholesale,7440900,commercial,2012,1
78746,City of Austin,1249200,commercial,2012,1
78746,Commercial,10876500,commercial,2012,1
78746,Irrigation - City of Austin,395800,commercial,2012,1
78746,Irrigation - Commercial,1990700,commercial,2012,1
78746,Wholesale,67229800,commercial,2012,1
78747,Commercial,900800,commercial,2012,1
78747,Irrigation - Commercial,606600,commercial,2012,1
78747,Wholesale,3942900,commercial,2012,1
78748,City of Austin,54800,commercial,2012,1
78748,Commercial,10631900,commercial,2012,1
78748,Irrigation - City of Austin,26000,commercial,2012,1
78748,Irrigation - Commercial,3011400,commercial,2012,1
78748,Wholesale,537400,commercial,2012,1
78749,Austin Water Utility,100,commercial,2012,1
78749,City of Austin,47000,commercial,2012,1
78749,Commercial,8522100,commercial,2012,1
78749,Irrigation - City of Austin,40200,commercial,2012,1
78749,Irrigation - Commercial,5288800,commercial,2012,1
78750,Austin Water Utility,739500,commercial,2012,1
78750,City of Austin,240800,commercial,2012,1
78750,Commercial,7876900,commercial,2012,1
78750,Irrigation - City of Austin,74800,commercial,2012,1
78750,Irrigation - Commercial,3185600,commercial,2012,1
78751,City of Austin,39000,commercial,2012,1
78751,Commercial,11666500,commercial,2012,1
78751,Irrigation - City of Austin,680600,commercial,2012,1
78751,Irrigation - Commercial,293200,commercial,2012,1
78752,City of Austin,89800,commercial,2012,1
78752,Commercial,22224000,commercial,2012,1
78752,Irrigation - City of Austin,0,commercial,2012,1
78752,Irrigation - Commercial,2012600,commercial,2012,1
78753,Austin Water Utility,800,commercial,2012,1
78753,City of Austin,485000,commercial,2012,1
78753,Commercial,37987000,commercial,2012,1
78753,Irrigation - City of Austin,366900,commercial,2012,1
78753,Irrigation - Commercial,5241500,commercial,2012,1
78754,Austin Water Utility,96100,commercial,2012,1
78754,City of Austin,204300,commercial,2012,1
78754,Commercial,11828800,commercial,2012,1
78754,Irrigation - City of Austin,0,commercial,2012,1
78754,Irrigation - Commercial,3458700,commercial,2012,1
78754,Large Volume,121229000,commercial,2012,1
78755,Commercial,39200,commercial,2012,1
78756,Austin Water Utility,65200,commercial,2012,1
78756,City of Austin,24100,commercial,2012,1
78756,Commercial,10241300,commercial,2012,1
78756,Irrigation - City of Austin,0,commercial,2012,1
78756,Irrigation - Commercial,388000,commercial,2012,1
78757,City of Austin,129700,commercial,2012,1
78757,Commercial,15812900,commercial,2012,1
78757,Irrigation - City of Austin,69400,commercial,2012,1
78757,Irrigation - Commercial,686000,commercial,2012,1
78758,City of Austin,149400,commercial,2012,1
78758,Commercial,35918200,commercial,2012,1
78758,Irrigation - City of Austin,2140300,commercial,2012,1
78758,Irrigation - Commercial,4215100,commercial,2012,1
78759,Austin Water Utility,0,commercial,2012,1
78759,City of Austin,31100,commercial,2012,1
78759,Commercial,33814000,commercial,2012,1
78759,Irrigation - City of Austin,0,commercial,2012,1
78759,Irrigation - Commercial,6577600,commercial,2012,1
78766,Commercial,5700,commercial,2012,1
78766,Irrigation - Commercial,26000,commercial,2012,1
78613,Commercial,2296300,commercial,2012,2
78613,Irrigation - Commercial,854700,commercial,2012,2
78617,Austin Water Utility,433500,commercial,2012,2
78617,City of Austin,3046600,commercial,2012,2
78617,Commercial,9641400,commercial,2012,2
78617,Irrigation - City of Austin,0,commercial,2012,2
78617,Irrigation - Commercial,343900,commercial,2012,2
78640,Commercial,63800,commercial,2012,2
78652,Commercial,142100,commercial,2012,2
78652,Irrigation - Commercial,41200,commercial,2012,2
78653,Commercial,99500,commercial,2012,2
78653,Irrigation - Commercial,9300,commercial,2012,2
78653,Wholesale,0,commercial,2012,2
78660,Commercial,3433100,commercial,2012,2
78660,Irrigation - Commercial,1125000,commercial,2012,2
78660,Wholesale,23291000,commercial,2012,2
78681,City of Austin,1200,commercial,2012,2
78681,Irrigation - City of Austin,36000,commercial,2012,2
78701,Austin Water Utility,90000,commercial,2012,2
78701,City of Austin,4351900,commercial,2012,2
78701,Commercial,58568200,commercial,2012,2
78701,Irrigation - City of Austin,344000,commercial,2012,2
78701,Irrigation - Commercial,816300,commercial,2012,2
78701,Large Volume,1384000,commercial,2012,2
78702,Austin Water Utility,56000,commercial,2012,2
78702,City of Austin,598500,commercial,2012,2
78702,Commercial,23223800,commercial,2012,2
78702,Irrigation - City of Austin,498300,commercial,2012,2
78702,Irrigation - Commercial,1305100,commercial,2012,2
78703,Austin Water Utility,9700,commercial,2012,2
78703,City of Austin,755200,commercial,2012,2
78703,Commercial,15295100,commercial,2012,2
78703,Irrigation - City of Austin,106000,commercial,2012,2
78703,Irrigation - Commercial,769900,commercial,2012,2
78704,Austin Water Utility,43300,commercial,2012,2
78704,City of Austin,2251200,commercial,2012,2
78704,Commercial,36131100,commercial,2012,2
78704,Irrigation - City of Austin,65600,commercial,2012,2
78704,Irrigation - Commercial,1988300,commercial,2012,2
78705,City of Austin,96500,commercial,2012,2
78705,Commercial,26091900,commercial,2012,2
78705,Irrigation - City of Austin,400,commercial,2012,2
78705,Irrigation - Commercial,1022500,commercial,2012,2
78705,Large Volume,2720000,commercial,2012,2
78710,Commercial,33800,commercial,2012,2
78710,Irrigation - Commercial,1400,commercial,2012,2
78712,Commercial,5889500,commercial,2012,2
78712,Irrigation - Commercial,2959000,commercial,2012,2
78712,Irrigation - Large Volume,14795400,commercial,2012,2
78712,Large Volume,8954400,commercial,2012,2
78714,Commercial,239900,commercial,2012,2
78714,Irrigation - Commercial,80000,commercial,2012,2
78717,City of Austin,0,commercial,2012,2
78717,Commercial,3761700,commercial,2012,2
78717,Irrigation - City of Austin,0,commercial,2012,2
78717,Irrigation - Commercial,2625300,commercial,2012,2
78719,Austin Water Utility,419500,commercial,2012,2
78719,City of Austin,2548100,commercial,2012,2
78719,Commercial,3008300,commercial,2012,2
78719,Irrigation - City of Austin,161300,commercial,2012,2
78719,Irrigation - Commercial,318200,commercial,2012,2
78719,Wholesale,1344300,commercial,2012,2
78721,Austin Water Utility,6100,commercial,2012,2
78721,City of Austin,112500,commercial,2012,2
78721,Commercial,5818100,commercial,2012,2
78721,Irrigation - City of Austin,17700,commercial,2012,2
78721,Irrigation - Commercial,190100,commercial,2012,2
78722,City of Austin,40400,commercial,2012,2
78722,Commercial,4292100,commercial,2012,2
78722,Irrigation - City of Austin,910400,commercial,2012,2
78722,Irrigation - Commercial,317900,commercial,2012,2
78723,Austin Water Utility,0,commercial,2012,2
78723,City of Austin,3641000,commercial,2012,2
78723,Commercial,12475600,commercial,2012,2
78723,Irrigation - City of Austin,0,commercial,2012,2
78723,Irrigation - Commercial,2847800,commercial,2012,2
78724,Austin Water Utility,407000,commercial,2012,2
78724,City of Austin,4791900,commercial,2012,2
78724,Commercial,3666100,commercial,2012,2
78724,Irrigation - City of Austin,0,commercial,2012,2
78724,Irrigation - Commercial,1821300,commercial,2012,2
78725,Austin Water Utility,361700,commercial,2012,2
78725,City of Austin,26000,commercial,2012,2
78725,Commercial,5325700,commercial,2012,2
78725,Irrigation - Commercial,65100,commercial,2012,2
78725,Large Volume,28345500,commercial,2012,2
78725,Wholesale,482600,commercial,2012,2
78726,Austin Water Utility,0,commercial,2012,2
78726,City of Austin,270000,commercial,2012,2
78726,Commercial,5068200,commercial,2012,2
78726,Irrigation - Commercial,1745600,commercial,2012,2
78727,City of Austin,26400,commercial,2012,2
78727,Commercial,12927900,commercial,2012,2
78727,Irrigation - City of Austin,0,commercial,2012,2
78727,Irrigation - Commercial,2577400,commercial,2012,2
78728,Commercial,2936500,commercial,2012,2
78728,Irrigation - Commercial,1280100,commercial,2012,2
78728,Large Volume,15303000,commercial,2012,2
78728,Wholesale,31001800,commercial,2012,2
78729,City of Austin,12000,commercial,2012,2
78729,Commercial,8081300,commercial,2012,2
78729,Irrigation - City of Austin,0,commercial,2012,2
78729,Irrigation - Commercial,1970200,commercial,2012,2
78729,Wholesale,21908000,commercial,2012,2
78730,Commercial,1874300,commercial,2012,2
78730,Irrigation - Commercial,1499800,commercial,2012,2
78731,Austin Water Utility,0,commercial,2012,2
78731,City of Austin,77800,commercial,2012,2
78731,Commercial,12482300,commercial,2012,2
78731,Irrigation - City of Austin,8800,commercial,2012,2
78731,Irrigation - Commercial,1733900,commercial,2012,2
78732,Commercial,723200,commercial,2012,2
78732,Irrigation - Commercial,5900,commercial,2012,2
78735,Austin Water Utility,0,commercial,2012,2
78735,City of Austin,257000,commercial,2012,2
78735,Commercial,7088500,commercial,2012,2
78735,Irrigation - Commercial,2426200,commercial,2012,2
78735,Large Volume,16374000,commercial,2012,2
78735,Wholesale,382900,commercial,2012,2
78736,Commercial,1218900,commercial,2012,2
78736,Irrigation - Commercial,197400,commercial,2012,2
78737,Commercial,301100,commercial,2012,2
78737,Irrigation - Commercial,136000,commercial,2012,2
78737,Wholesale,413000,commercial,2012,2
78739,City of Austin,8000,commercial,2012,2
78739,Commercial,1677400,commercial,2012,2
78739,Irrigation - City of Austin,0,commercial,2012,2
78739,Irrigation - Commercial,1067800,commercial,2012,2
78739,Wholesale,9507000,commercial,2012,2
78741,Austin Water Utility,0,commercial,2012,2
78741,City of Austin,215800,commercial,2012,2
78741,Commercial,16294200,commercial,2012,2
78741,Irrigation - City of Austin,1297800,commercial,2012,2
78741,Irrigation - Commercial,2148100,commercial,2012,2
78741,Large Volume,35668700,commercial,2012,2
78742,Commercial,350700,commercial,2012,2
78742,Irrigation - Commercial,29100,commercial,2012,2
78744,Austin Water Utility,692900,commercial,2012,2
78744,City of Austin,839700,commercial,2012,2
78744,Commercial,21512800,commercial,2012,2
78744,Irrigation - City of Austin,785500,commercial,2012,2
78744,Irrigation - Commercial,2511100,commercial,2012,2
78745,City of Austin,222500,commercial,2012,2
78745,Commercial,27406700,commercial,2012,2
78745,Irrigation - City of Austin,0,commercial,2012,2
78745,Irrigation - Commercial,3012000,commercial,2012,2
78745,Wholesale,5729800,commercial,2012,2
78746,City of Austin,1136900,commercial,2012,2
78746,Commercial,9368600,commercial,2012,2
78746,Irrigation - City of Austin,358800,commercial,2012,2
78746,Irrigation - Commercial,1351000,commercial,2012,2
78746,Wholesale,63872800,commercial,2012,2
78747,Austin Water Utility,1215500,commercial,2012,2
78747,Commercial,791600,commercial,2012,2
78747,Irrigation - Commercial,538900,commercial,2012,2
78747,Wholesale,3966600,commercial,2012,2
78748,City of Austin,50500,commercial,2012,2
78748,Commercial,10031600,commercial,2012,2
78748,Irrigation - City of Austin,25900,commercial,2012,2
78748,Irrigation - Commercial,3080200,commercial,2012,2
78748,Wholesale,487000,commercial,2012,2
78749,Austin Water Utility,0,commercial,2012,2
78749,City of Austin,36500,commercial,2012,2
78749,Commercial,8354600,commercial,2012,2
78749,Irrigation - City of Austin,27400,commercial,2012,2
78749,Irrigation - Commercial,4610800,commercial,2012,2
78750,Austin Water Utility,11800,commercial,2012,2
78750,City of Austin,118400,commercial,2012,2
78750,Commercial,7010600,commercial,2012,2
78750,Irrigation - City of Austin,70000,commercial,2012,2
78750,Irrigation - Commercial,3020700,commercial,2012,2
78751,City of Austin,52900,commercial,2012,2
78751,Commercial,11314000,commercial,2012,2
78751,Irrigation - City of Austin,367000,commercial,2012,2
78751,Irrigation - Commercial,210600,commercial,2012,2
78752,City of Austin,93800,commercial,2012,2
78752,Commercial,21357600,commercial,2012,2
78752,Irrigation - City of Austin,0,commercial,2012,2
78752,Irrigation - Commercial,1633100,commercial,2012,2
78753,Austin Water Utility,600,commercial,2012,2
78753,City of Austin,675500,commercial,2012,2
78753,Commercial,31562000,commercial,2012,2
78753,Irrigation - City of Austin,295600,commercial,2012,2
78753,Irrigation - Commercial,3842900,commercial,2012,2
78754,Austin Water Utility,71700,commercial,2012,2
78754,City of Austin,184800,commercial,2012,2
78754,Commercial,11381800,commercial,2012,2
78754,Irrigation - City of Austin,0,commercial,2012,2
78754,Irrigation - Commercial,1968800,commercial,2012,2
78754,Large Volume,127581400,commercial,2012,2
78755,Commercial,36700,commercial,2012,2
78756,Austin Water Utility,53800,commercial,2012,2
78756,City of Austin,28400,commercial,2012,2
78756,Commercial,9624500,commercial,2012,2
78756,Irrigation - City of Austin,0,commercial,2012,2
78756,Irrigation - Commercial,392400,commercial,2012,2
78757,City of Austin,258500,commercial,2012,2
78757,Commercial,15605100,commercial,2012,2
78757,Irrigation - City of Austin,61000,commercial,2012,2
78757,Irrigation - Commercial,368500,commercial,2012,2
78758,City of Austin,143100,commercial,2012,2
78758,Commercial,33846900,commercial,2012,2
78758,Irrigation - City of Austin,1832900,commercial,2012,2
78758,Irrigation - Commercial,3943400,commercial,2012,2
78759,Austin Water Utility,0,commercial,2012,2
78759,City of Austin,24300,commercial,2012,2
78759,Commercial,32753900,commercial,2012,2
78759,Irrigation - City of Austin,0,commercial,2012,2
78759,Irrigation - Commercial,5197600,commercial,2012,2
78766,Commercial,5700,commercial,2012,2
78766,Irrigation - Commercial,24000,commercial,2012,2
78613,Commercial,2689100,commercial,2012,3
78613,Irrigation - Commercial,916700,commercial,2012,3
78617,Austin Water Utility,262700,commercial,2012,3
78617,City of Austin,18333500,commercial,2012,3
78617,Commercial,10646300,commercial,2012,3
78617,Irrigation - City of Austin,0,commercial,2012,3
78617,Irrigation - Commercial,397700,commercial,2012,3
78640,Commercial,101900,commercial,2012,3
78652,Commercial,157500,commercial,2012,3
78652,Irrigation - Commercial,13500,commercial,2012,3
78653,Commercial,387200,commercial,2012,3
78653,Irrigation - Commercial,53000,commercial,2012,3
78653,Wholesale,0,commercial,2012,3
78660,Commercial,4127500,commercial,2012,3
78660,Irrigation - Commercial,1268400,commercial,2012,3
78660,Wholesale,23972600,commercial,2012,3
78681,City of Austin,2100,commercial,2012,3
78681,Irrigation - City of Austin,31000,commercial,2012,3
78701,Austin Water Utility,108000,commercial,2012,3
78701,City of Austin,5570000,commercial,2012,3
78701,Commercial,63987200,commercial,2012,3
78701,Irrigation - City of Austin,309800,commercial,2012,3
78701,Irrigation - Commercial,867900,commercial,2012,3
78701,Large Volume,1714000,commercial,2012,3
78702,Austin Water Utility,64200,commercial,2012,3
78702,City of Austin,668900,commercial,2012,3
78702,Commercial,24825600,commercial,2012,3
78702,Irrigation - City of Austin,206600,commercial,2012,3
78702,Irrigation - Commercial,1106700,commercial,2012,3
78703,Austin Water Utility,10300,commercial,2012,3
78703,City of Austin,954900,commercial,2012,3
78703,Commercial,15333600,commercial,2012,3
78703,Irrigation - City of Austin,84400,commercial,2012,3
78703,Irrigation - Commercial,889200,commercial,2012,3
78704,Austin Water Utility,52100,commercial,2012,3
78704,City of Austin,1368400,commercial,2012,3
78704,Commercial,34938000,commercial,2012,3
78704,Irrigation - City of Austin,108700,commercial,2012,3
78704,Irrigation - Commercial,2015900,commercial,2012,3
78705,City of Austin,83100,commercial,2012,3
78705,Commercial,29976000,commercial,2012,3
78705,Irrigation - City of Austin,400,commercial,2012,3
78705,Irrigation - Commercial,1004800,commercial,2012,3
78705,Large Volume,3739000,commercial,2012,3
78710,Commercial,31600,commercial,2012,3
78710,Irrigation - Commercial,2000,commercial,2012,3
78712,Commercial,6138900,commercial,2012,3
78712,Irrigation - Commercial,2286700,commercial,2012,3
78712,Irrigation - Large Volume,12580000,commercial,2012,3
78712,Large Volume,17643400,commercial,2012,3
78714,Commercial,329200,commercial,2012,3
78714,Irrigation - Commercial,49000,commercial,2012,3
78717,City of Austin,0,commercial,2012,3
78717,Commercial,3991600,commercial,2012,3
78717,Irrigation - City of Austin,0,commercial,2012,3
78717,Irrigation - Commercial,2937500,commercial,2012,3
78719,Austin Water Utility,337200,commercial,2012,3
78719,City of Austin,1875900,commercial,2012,3
78719,Commercial,3147300,commercial,2012,3
78719,Irrigation - City of Austin,204600,commercial,2012,3
78719,Irrigation - Commercial,202000,commercial,2012,3
78719,Wholesale,752600,commercial,2012,3
78721,Austin Water Utility,4200,commercial,2012,3
78721,City of Austin,102000,commercial,2012,3
78721,Commercial,6841700,commercial,2012,3
78721,Irrigation - City of Austin,15200,commercial,2012,3
78721,Irrigation - Commercial,242700,commercial,2012,3
78722,City of Austin,46900,commercial,2012,3
78722,Commercial,4769600,commercial,2012,3
78722,Irrigation - City of Austin,801100,commercial,2012,3
78722,Irrigation - Commercial,340500,commercial,2012,3
78723,City of Austin,2225800,commercial,2012,3
78723,Commercial,13755000,commercial,2012,3
78723,Irrigation - City of Austin,1000,commercial,2012,3
78723,Irrigation - Commercial,3220900,commercial,2012,3
78724,Austin Water Utility,363200,commercial,2012,3
78724,City of Austin,2764000,commercial,2012,3
78724,Commercial,4412400,commercial,2012,3
78724,Irrigation - City of Austin,0,commercial,2012,3
78724,Irrigation - Commercial,2323900,commercial,2012,3
78725,Austin Water Utility,708800,commercial,2012,3
78725,City of Austin,27000,commercial,2012,3
78725,Commercial,4700900,commercial,2012,3
78725,Irrigation - Commercial,79500,commercial,2012,3
78725,Large Volume,28751400,commercial,2012,3
78725,Wholesale,933000,commercial,2012,3
78726,Austin Water Utility,0,commercial,2012,3
78726,City of Austin,271000,commercial,2012,3
78726,Commercial,5799400,commercial,2012,3
78726,Irrigation - Commercial,1518600,commercial,2012,3
78727,City of Austin,24200,commercial,2012,3
78727,Commercial,13664900,commercial,2012,3
78727,Irrigation - City of Austin,100,commercial,2012,3
78727,Irrigation - Commercial,3561300,commercial,2012,3
78728,Commercial,4168500,commercial,2012,3
78728,Irrigation - Commercial,1581000,commercial,2012,3
78728,Large Volume,5969000,commercial,2012,3
78728,Wholesale,33207500,commercial,2012,3
78729,City of Austin,12300,commercial,2012,3
78729,Commercial,10133200,commercial,2012,3
78729,Irrigation - City of Austin,0,commercial,2012,3
78729,Irrigation - Commercial,2589900,commercial,2012,3
78729,Wholesale,24055200,commercial,2012,3
78730,Commercial,2065700,commercial,2012,3
78730,Irrigation - Commercial,1185400,commercial,2012,3
78731,Austin Water Utility,0,commercial,2012,3
78731,City of Austin,114900,commercial,2012,3
78731,Commercial,14303100,commercial,2012,3
78731,Irrigation - City of Austin,8200,commercial,2012,3
78731,Irrigation - Commercial,1970400,commercial,2012,3
78732,Commercial,287200,commercial,2012,3
78732,Irrigation - Commercial,8300,commercial,2012,3
78735,Austin Water Utility,0,commercial,2012,3
78735,City of Austin,280000,commercial,2012,3
78735,Commercial,7302900,commercial,2012,3
78735,Irrigation - Commercial,1770800,commercial,2012,3
78735,Large Volume,15883000,commercial,2012,3
78735,Wholesale,442300,commercial,2012,3
78736,Commercial,1100400,commercial,2012,3
78736,Irrigation - Commercial,221100,commercial,2012,3
78737,Commercial,363100,commercial,2012,3
78737,Irrigation - Commercial,112600,commercial,2012,3
78737,Wholesale,451400,commercial,2012,3
78739,City of Austin,9000,commercial,2012,3
78739,Commercial,1589600,commercial,2012,3
78739,Irrigation - City of Austin,700,commercial,2012,3
78739,Irrigation - Commercial,470800,commercial,2012,3
78739,Wholesale,9493200,commercial,2012,3
78741,Austin Water Utility,94000,commercial,2012,3
78741,City of Austin,270100,commercial,2012,3
78741,Commercial,17463400,commercial,2012,3
78741,Irrigation - City of Austin,871900,commercial,2012,3
78741,Irrigation - Commercial,2311100,commercial,2012,3
78741,Large Volume,37560000,commercial,2012,3
78742,Commercial,440200,commercial,2012,3
78742,Irrigation - Commercial,33900,commercial,2012,3
78744,Austin Water Utility,352600,commercial,2012,3
78744,City of Austin,670000,commercial,2012,3
78744,Commercial,23880000,commercial,2012,3
78744,Irrigation - City of Austin,1007300,commercial,2012,3
78744,Irrigation - Commercial,3212700,commercial,2012,3
78745,City of Austin,123000,commercial,2012,3
78745,Commercial,27523900,commercial,2012,3
78745,Irrigation - City of Austin,500,commercial,2012,3
78745,Irrigation - Commercial,2449200,commercial,2012,3
78745,Wholesale,5809100,commercial,2012,3
78746,City of Austin,1211100,commercial,2012,3
78746,Commercial,10506300,commercial,2012,3
78746,Irrigation - City of Austin,344000,commercial,2012,3
78746,Irrigation - Commercial,1584300,commercial,2012,3
78746,Wholesale,58437800,commercial,2012,3
78747,Austin Water Utility,1469600,commercial,2012,3
78747,Commercial,919500,commercial,2012,3
78747,Irrigation - Commercial,442800,commercial,2012,3
78747,Wholesale,4855500,commercial,2012,3
78748,City of Austin,38200,commercial,2012,3
78748,Commercial,11325500,commercial,2012,3
78748,Irrigation - City of Austin,23200,commercial,2012,3
78748,Irrigation - Commercial,2518100,commercial,2012,3
78748,Wholesale,477100,commercial,2012,3
78749,Austin Water Utility,100,commercial,2012,3
78749,City of Austin,41600,commercial,2012,3
78749,Commercial,8957700,commercial,2012,3
78749,Irrigation - City of Austin,33800,commercial,2012,3
78749,Irrigation - Commercial,4457200,commercial,2012,3
78750,Austin Water Utility,13900,commercial,2012,3
78750,City of Austin,117400,commercial,2012,3
78750,Commercial,7666300,commercial,2012,3
78750,Irrigation - City of Austin,69700,commercial,2012,3
78750,Irrigation - Commercial,3037000,commercial,2012,3
78751,City of Austin,51000,commercial,2012,3
78751,Commercial,12593100,commercial,2012,3
78751,Irrigation - City of Austin,561200,commercial,2012,3
