,Dem: Median Age,Dem: % <18,Dem: Pop,Div: % NH White,Div: % NH Black,Div: % NH Asian,Div: Max % One Race,Comp: % Married,Hsg: % Paying >20% Income on Housing,Hsg: % Paying >30% Income on Housing,Hsg: Median House Costs,Inc: Gini Index,Mob: % From Out of State (1y),Occ: % in Labor Force,Occ: % in mgmt/bus/science/arts,Occ: % in serv/construct/prod,Trns: % w/ 3+ Vehicles,Trns: % Public Trans to Work,Y: % built pre-1970,Y: % built pre-1940,res_permit_per_cap,runaway_child_crime_per_cap
0,37.2,0.2564911429264742,8242.0,0.7828197039553506,0.025721912157243388,0.10786216937636496,0.7828197039553506,0.6318353236957888,0.706959706959707,0.31684981684981683,2217.0,0.4605,0.03315324165029469,0.7342724507763727,1.4867694847062465,1.0109695500421245,0.3318014705882353,0.002297794117647059,0.017782717421505972,0.0,0.06418345061878185,0.0
1,39.3,0.32400477275192535,9219.0,0.7901073869183208,0.0009762447120078099,0.07983512311530534,0.7901073869183208,0.651270207852194,0.5273311897106109,0.2797427652733119,2312.0,0.4796,0.0213091465413616,0.6615291628890904,1.4262486464537087,1.7845154304277207,0.3600944510035419,0.0,0.10069885641677255,0.006670902160101652,0.025816249050873197,0.0
2,28.0,0.10546606085639543,14526.0,0.7435632658680986,0.01734820322180917,0.07070081233650007,0.7435632658680986,0.2352046249809828,0.7695059625212948,0.559114139693356,992.0,0.5207,0.092880978865406,0.7695595756049156,1.3346751388935094,1.9606440666688845,0.1715905374468549,0.13798365122615805,0.5032687651331719,0.13341404358353512,0.0540410298774611,0.0027536830510808204
3,33.1,0.011211644374508261,5084.0,0.7313139260424862,0.07612116443745083,0.06589299763965381,0.7313139260424862,0.25321973449574003,0.6841872791519434,0.46775618374558303,1537.0,0.5747,0.12677725118483413,0.714200477326969,1.1941211357402328,2.3318259322410855,0.04467465199093558,0.03372524752475248,0.32093466857415354,0.06509298998569385,0.010818253343823761,0.000983477576711251
4,35.6,0.2332750873689466,16024.0,0.7277833250124813,0.00717673489765352,0.06552670993509735,0.7277833250124813,0.526243199754808,0.6621504756413952,0.4174113577399827,1336.0,0.5418,0.04529065722057056,0.6699530516431925,1.304809481433541,1.217539034058733,0.16129032258064516,0.003263461779841848,0.04169406813100092,0.0019729054320662895,0.03457314028956565,0.0014977533699450823
5,30.3,0.2048017460894871,16494.0,0.25481993452164425,0.1316236207105614,0.0224323996604826,0.5785133988116891,0.371793918667757,0.7743948562783661,0.5183434190620272,762.0,0.4248,0.04100537269190391,0.7753247728467373,1.6992810959895104,2.3831894018176065,0.1942716155331474,0.08813123190736571,0.40742611770649156,0.009219499873705482,0.0177640354068146,0.004122711288953559
6,29.5,0.23388484751130184,43577.0,0.3220735709204397,0.12348257108107488,0.06989925878330312,0.45760378181150607,0.4073032078426823,0.7226391752577319,0.4903917525773196,911.0,0.4182,0.042307872211048224,0.7823211241107649,1.768244122827169,2.3186308293131175,0.19551569506726457,0.052923602219376864,0.09082996262352158,0.0029696380113665454,0.014342428345227988,0.004887899580053698
7,20.8,0.030567237665401578,29247.0,0.6409204362840634,0.03214004855198824,0.15905904879132904,0.6409204362840634,0.0625914315569488,0.7869836695485111,0.7060518731988472,1049.0,0.6555,0.08567608337904553,0.45059426300930605,2.174441039609579,3.0616275110657134,0.24100520314402746,0.06829132690882135,0.3749765522416057,0.14706434064903395,0.014326255684343694,0.00010257462303826033
8,36.0,0.18255258361657062,40602.0,0.7116151913698833,0.031156100684695334,0.11509285256883897,0.7116151913698833,0.4792248603351955,0.6561978877153974,0.3997591254400593,1084.0,0.4541,0.039223504198958356,0.7557488207547169,1.3304941886256765,1.7451867624878006,0.15671799198481334,0.031323777403035415,0.05337444000192688,0.003372031408063972,0.03879119255209103,0.0004925865720900449
9,30.1,0.1986457097667062,20232.0,0.4362396204033215,0.1443258204824041,0.10399367338869119,0.4362396204033215,0.39928762243989313,0.7358549062160905,0.4802356223841265,975.0,0.3958,0.06928951864134258,0.797509474824039,1.3975740835259856,2.170114390368391,0.14099604221635884,0.009729551451187335,0.016271904486809166,0.0,0.0028173190984578885,0.0
10,43.4,0.1845734202151841,6599.0,0.7510228822548871,0.0015153811183512653,0.052583724806788905,0.7510228822548871,0.6320299946438136,0.5013192612137203,0.2559366754617414,1357.0,0.3548,0.02315595767520319,0.698157514450867,1.3755914870713821,2.263079993720706,0.3189504373177843,0.033527696793002916,0.071285140562249,0.018406961178045515,0.03288377026822246,0.0028792241248674043
11,39.6,0.22940824418343683,26734.0,0.6810428667614274,0.048477594074960724,0.10073314879928182,0.6810428667614274,0.5990069694347014,0.735523835173714,0.4336116347966604,1333.0,0.4381,0.026044039483675018,0.7151081808895905,1.3221481930143348,1.845043408035534,0.25833391816969614,0.014807017543859649,0.01596958174904943,0.004816223067173638,0.035348245679658864,0.0013091942844318098
12,29.2,0.2759423438803422,51547.0,0.21578365375288572,0.1188623974237104,0.06310745533202708,0.5869400741071256,0.39409194286152355,0.7368692956776305,0.5042190459789909,859.0,0.3999,0.022245112215993502,0.7594740513032472,1.8803247169408246,2.622516556291391,0.19178551055333715,0.04156367646499601,0.1438894277400582,0.008098933074684771,0.013541040215725454,0.0028905658913224823
13,32.5,0.25165915806811023,20643.0,0.2539844014920312,0.1561788499733566,0.017584653393402122,0.5599961245942935,0.3063664502033137,0.6949317738791423,0.4597953216374269,770.0,0.4955,0.03425663110502104,0.6465027187345527,1.697636479388827,2.2990211682317363,0.22134694330411628,0.08484112974404237,0.6349943374858437,0.22955832389580974,0.06229714673254856,0.004650486847841883
14,33.6,0.19409198327576804,55010.0,0.49972732230503547,0.033193964733684786,0.01592437738592983,0.49972732230503547,0.3986621492485449,0.7568581477139508,0.4966002344665885,1030.0,0.3928,0.038721221959858325,0.7702943701974945,1.4314605301112144,2.3513028428576006,0.21585106720370428,0.04319326134456442,0.17470043044945127,0.0059720013960522745,0.033993819305580805,0.0023813852026904198
