,1Y: Inc: Median Income Past 12m,1Y: Ed: % w/ BA,1Y: Hsg: Median Gross Rent,1Y: Hsg: Median House Val,5Y: Inc: Median Income Past 12m,5Y: Ed: % w/ BA,5Y: Hsg: Median Gross Rent,5Y: Hsg: Median House Val,1Y CHG: Inc: Median Income Past 12m,5Y CHG: Inc: Median Income Past 12m,1Y CHG > Median Inc: Median Income Past 12m,5Y CHG > Median Inc: Median Income Past 12m,1Y CHG > 75th Inc: Median Income Past 12m,5Y CHG > 75th Inc: Median Income Past 12m,1Y CHG: Ed: % w/ BA,5Y CHG: Ed: % w/ BA,1Y CHG > Median Ed: % w/ BA,5Y CHG > Median Ed: % w/ BA,1Y CHG > 75th Ed: % w/ BA,5Y CHG > 75th Ed: % w/ BA,1Y CHG: Hsg: Median Gross Rent,5Y CHG: Hsg: Median Gross Rent,1Y CHG > Median Hsg: Median Gross Rent,5Y CHG > Median Hsg: Median Gross Rent,1Y CHG > 75th Hsg: Median Gross Rent,5Y CHG > 75th Hsg: Median Gross Rent,1Y CHG: Hsg: Median House Val,5Y CHG: Hsg: Median House Val,1Y CHG > Median Hsg: Median House Val,5Y CHG > Median Hsg: Median House Val,1Y CHG > 75th Hsg: Median House Val,5Y CHG > 75th Hsg: Median House Val,Gentrified 1Y Median,Gentrified 1Y 75th,Gentrified 5Y Median,Gentrified 5Y 75th
69,21377,0.10006056935190794,962,106500,25416,0.1309088375657505,1104,121500,448.0,4487.0,False,False,False,False,0.005324597801645348,0.036172866015487914,True,True,False,False,16.0,158.0,False,False,False,False,-1600.0,13400.0,False,False,False,False,False,False,False,False
70,34388,0.3039012206704893,1138,187900,38243,0.30334644547061174,1326,238600,-107.0,3748.0,False,False,False,False,0.01726408519614453,0.016709309996266963,True,False,True,False,43.0,231.0,True,True,False,False,2400.0,53100.0,False,False,False,False,False,False,False,False
71,38897,0.3610026041666667,894,364400,52894,0.4120247568523431,1213,476700,-2155.0,11842.0,False,True,False,True,-0.016904372577519367,0.034117780108157025,False,True,False,False,6.0,325.0,False,True,False,True,22100.0,134400.0,True,True,False,True,False,False,True,False
72,52582,0.4326301463082681,1138,580300,60545,0.4370139968895801,1281,659400,4229.0,12192.0,True,True,True,True,0.023480062618478292,0.027863913199790258,True,True,True,False,32.0,175.0,False,False,False,False,9900.0,89000.0,False,True,False,False,False,False,True,False
73,53695,0.34995014955134596,1459,487900,53638,0.3922398589065256,1511,533800,-2160.0,-2217.0,False,False,False,False,0.011288810890007273,0.05357852024518689,True,True,False,True,-37.0,15.0,False,False,False,False,20200.0,66100.0,True,False,False,False,False,False,False,False
74,25985,0.37757212847033206,876,297200,35455,0.43265007320644217,1200,395200,1439.0,10909.0,True,True,False,True,0.014320458091712895,0.069398402827823,True,True,True,True,11.0,335.0,False,True,False,True,5000.0,103000.0,False,True,False,False,False,False,True,True
75,59986,0.38101870274572225,1653,372000,81451,0.42264257481648787,1847,476700,10887.0,32352.0,True,True,True,True,-0.0044922933732945425,0.03713157869747108,False,True,False,False,63.0,257.0,True,True,False,False,33700.0,138400.0,True,True,True,True,False,False,True,False
76,45174,0.41307974641307976,1147,373400,52849,0.3765586034912718,1362,463200,1271.0,8946.0,True,True,False,True,-0.01170366130548156,-0.04822480422728953,False,False,False,False,25.0,240.0,False,True,False,False,-6500.0,83300.0,False,True,False,False,False,False,False,False
77,20318,0.1744670219853431,805,163900,25802,0.23313244156989563,962,233900,-278.0,5206.0,False,False,False,False,0.023011580874729598,0.08167700045928211,True,True,True,True,53.0,210.0,True,False,False,False,10900.0,80900.0,False,True,False,False,False,False,False,False
78,23804,0.22694080829155028,918,146100,30585,0.2535477767265847,1072,178100,1231.0,8012.0,True,True,False,False,0.014660841820468978,0.041267810255503384,True,True,True,False,20.0,174.0,False,False,False,False,1900.0,33900.0,False,False,False,False,False,False,False,False
