,Dem: Median Age,Dem: % <18,Dem: Pop,Div: % NH White,Div: % NH Black,Div: % NH Asian,Div: Max % One Race,Div: % Born in US,Comp: % Married,Hsg: % Paying >20% Income on Housing,Hsg: % Paying >30% Income on Housing,Hsg: % Paying >40% Income on Housing,Hsg: Median House Costs,Inc: Income >40K,Inc: PC Income,Inc: Gini Index,Mob: % Same House (1y),Mob: % From Out of State (1y),Occ: % in Labor Force,Occ: % in mgmt/bus/science/arts,Occ: % in serv/construct/prod,Trns: % w/ 3+ Vehicles,Trns: % Walk/Bike to Work,Trns: % Public Trans to Work,Hsg: % Owner Occupied,Unt: % w/ 50+,Y: % built pre-1970,Y: % built pre-1940,com_permit_per_cap,res_permit_per_cap,assault_crime_per_cap,criminal_activity_crime_per_cap,identity_theft_crime_per_cap,runaway_child_crime_per_cap,Dem: Pop Density
134,37.2,0.37351791746704643,15097,0.7921441345962774,0.010333178777240512,0.08716963635159303,0.7921441345962774,0.8505000993574883,0.7597979797979798,0.6276958002270148,0.46538024971623154,0.2565266742338252,2382.0,0.902376910016978,52104.0,0.4034,0.7931426279909103,0.060152386044646435,0.7001120505246002,1.13337353757086,-8040.656627668556,0.22232660090809456,0.02144981994676687,0.0,0.8130305602716469,0.03761638733705773,0.038919925512104284,0.0,0.002583294694310128,0.02099754918195668,0.0,0.00019871497648539445,0.00013247665099026297,0.0,651.3882425885815
135,28.4,0.3246999781802313,45830,0.15694959633427885,0.0673576260091643,0.003163866463015492,0.7624045385118918,0.7198778092952215,0.3942377385841991,0.7597982708933717,0.5086455331412104,0.25878962536023054,996.0,0.5204980261160036,16617.0,0.4223,0.8011625843095491,0.027311856585019525,0.7218991061589323,1.6712849435998038,2.7021007029589668,0.31871537233543057,0.017790921466460122,0.046284560859972776,0.47312481020346187,0.029938842269947377,0.08391409472336794,0.001777840989901863,0.012655465852061967,0.02498363517346716,0.011280820423303512,0.03988653720270565,0.0008946105171285184,0.0039275583678813,1497.7681264300581
136,32.4,0.22531008528737168,44907,0.5416750172578886,0.050393034493508806,0.04228739394749148,0.5416750172578886,0.8926447992517871,0.445039031252586,0.7550675675675675,0.40442004504504503,0.16934121621621623,1334.0,0.7748527679623086,31912.0,0.3787,0.8147644002813131,0.021121168810544703,0.7824514175149323,1.3260075214039955,2.276504947590217,0.29984908872808885,0.01727803331916045,0.021877778207259092,0.5816254416961131,0.0418478567798046,0.04388095103631332,0.007850002823742023,0.011490413521277306,0.03781147705257532,0.004342307435366424,0.023181241231879215,0.001269289865722493,0.0024272385151535396,2619.1968262138603
137,35.2,0.16142774899251583,8685,0.7625791594703512,0.04029936672423719,0.060679332181922854,0.7625791594703512,0.9115716753022453,0.41167044999332353,0.7270450751252087,0.39398998330550916,0.15442404006677796,1184.0,0.7192860454334724,46095.0,0.4569,0.7264284034798966,0.04855396190924054,0.7622972972972973,1.3080687142113483,1.5050286309213952,0.151836425596365,0.08856926570779712,0.04428463285389856,0.44459898006490495,0.11772457720184494,0.5719305952119481,0.11179442126070722,0.034887737478411056,0.08048359240069085,0.005526770293609672,0.0204951065054692,0.0010362694300518134,0.00023028209556706967,3762.4885050173175
138,36.5,0.23082170366370122,35183,0.6560270585225819,0.03348207941335304,0.08148821874200608,0.6560270585225819,0.877071312849956,0.5249964744041743,0.6737000753579503,0.3571966842501884,0.16748304446119067,1450.0,0.8107027633609202,40471.0,0.368,0.7882931059401648,0.04344558462205521,0.7508271001150748,1.2995522269773339,1.7899627516246632,0.24719331522017737,0.009070875826372162,0.0054835238046430585,0.6277177724786085,0.054465651393230036,0.01928576178759061,0.004522178626055729,0.008754227894153426,0.03109456271494756,0.0023590938805673196,0.012704999573657732,0.0009663758064974562,0.0008526845351448142,2537.217300079761
139,34.3,0.30404687930152985,25427,0.6177685137845598,0.029968144098792622,0.19101742242498132,0.6177685137845598,0.8110276477759861,0.6341450530875284,0.7169009480222295,0.35305655442955214,0.15266426936907487,1665.0,0.8643879702585728,40670.0,0.3598,0.7370093754965835,0.0842602892102336,0.7548076923076923,1.4307672436063033,1.2938701701295345,0.16558821236454355,0.007796055196070789,0.024089810555858737,0.6605260237487516,0.05698242695227202,0.005407091608609754,0.0,0.01726511188893696,0.06225665631022142,0.0019270853816808905,0.007079089157195108,0.0005112675502418689,0.00023596963857317024,1591.6464680202557
140,40.9,0.2715465518458389,14167,0.7904990470812452,0.011364438483800381,0.034163902025834685,0.7904990470812452,0.9134608597444765,0.720070259776278,0.7011494252873564,0.28735632183908044,0.1471264367816092,2133.0,0.8858660998937301,48541.0,0.3679,0.8548387096774194,0.02259485576239875,0.6819847758669298,1.27350694390202,1.5621983034696076,0.41348803480783175,0.008989415687980281,0.001594896331738437,0.9075451647183846,0.0,0.02009113504556752,0.0,0.0012705583398037693,0.008117456059857414,0.0,0.0,7.058657443354274e-05,0.0,222.84544662465973
141,32.0,0.2714140750910285,16753,0.3257923953918701,0.05981018325076106,0.02757715036112935,0.5511251716110548,0.8313137945442607,0.5019118220834959,0.7470817120622568,0.5097276264591439,0.3674263479710951,1261.0,0.6917188587334725,27708.0,0.414,0.8792484951662918,0.0245029488660546,0.7051180478529552,1.5599788511180916,2.533822660404939,0.32044858029109996,0.005249343832020997,0.0,0.6870215727209464,0.029426601647889693,0.034303009920968554,0.0026904321506642003,0.0020891780576613142,0.0984898227183191,0.0037008297021429,0.0146242464036292,0.001014743628006924,0.002507013669193577,614.3369223031464
142,37.1,0.18547905468816653,23442,0.7124392116713592,0.019836191451241363,0.026789523078235646,0.7124392116713592,0.8803003156727242,0.44342429216249485,0.7965680740573493,0.5409799051704673,0.26371641454052835,1181.0,0.6555919513336453,36098.0,0.4402,0.816837067652817,0.027278659995649338,0.7513644320873236,1.4590077503031582,1.5627932725259661,0.17068523268596555,0.029594901472419603,0.04409933338216981,0.585493682732803,0.06540555010261444,0.7037565807084858,0.013562951726599447,0.025808378124733383,0.10250831840286664,0.006228137530927396,0.024059380598925005,0.0009811449535022609,0.0010238034297414896,3378.290952484719
143,39.5,0.1935483870967742,26412,0.7673784643343935,0.027941844616083598,0.07795698924731183,0.7673784643343935,0.864909889444192,0.5035145798376491,0.7209752321981424,0.4804566563467492,0.2654798761609907,1413.0,0.7222895949551298,57570.0,0.5215,0.7814609956131986,0.07922944878886135,0.6566800128860049,1.2144207859006846,1.8306985363639803,0.16940926670205506,0.03161485974222896,0.06087945413191812,0.5821812596006144,0.12499047328709702,0.2816858471153113,0.0048014633031018975,0.012721490231712857,0.08189459336665152,0.0017037710131758291,0.009768287142208088,0.0012872936543995154,0.00015144631228229593,1997.759167119008
