Permit Class,HousingUnits,Original Zip
C- 105 Five or More Family Bldgs,2032,78752
R- 101 Single Family Houses,149,78752
R- 102 Secondary Apartment,107,78752
R- 103 Two Family Bldgs,134,78752
C- 103 Two Family Bldgs,25,78753
C- 104 Three & Four Family Bldgs,51,78753
C- 105 Five or More Family Bldgs,5462,78753
R- 101 Single Family Houses,614,78753
R- 102 Secondary Apartment,7,78753
R- 103 Two Family Bldgs,50,78753
C- 104 Three & Four Family Bldgs,24,78754
C- 105 Five or More Family Bldgs,3068,78754
R- 101 Single Family Houses,3289,78754
C- 101 Single Family Houses,23,78756
C- 104 Three & Four Family Bldgs,,78756
C- 105 Five or More Family Bldgs,1071,78756
C- 106 Mixed Use,89,78756
R- 101 Single Family Houses,242,78756
R- 102 Secondary Apartment,64,78756
R- 103 Two Family Bldgs,154,78756
C- 105 Five or More Family Bldgs,1181,78757
C- 106 Mixed Use,344,78757
R- 101 Single Family Houses,726,78757
R- 102 Secondary Apartment,207,78757
R- 103 Two Family Bldgs,230,78757
C- 101 Single Family Houses,22,78758
C- 103 Two Family Bldgs,4,78758
C- 105 Five or More Family Bldgs,6238,78758
C- 106 Mixed Use,281,78758
R- 101 Single Family Houses,129,78758
R- 102 Secondary Apartment,4,78758
R- 103 Two Family Bldgs,12,78758
C- 101 Single Family Houses,3,78759
C- 105 Five or More Family Bldgs,1168,78759
R- 101 Single Family Houses,167,78759
R- 102 Secondary Apartment,4,78759
R- 103 Two Family Bldgs,12,78759
R- 102 Secondary Apartment,1,
