Year Month,Postal Code,Customer Class,Total Gallons
201201,78753,Irrigation - City of Austin,366900
201201,78753,Irrigation - Commercial,5241500
201201,78754,Austin Water Utility,96100
201201,78754,City of Austin,204300
201201,78754,Commercial,11828800
201201,78754,Irrigation - City of Austin,0
201201,78754,Irrigation - Commercial,3458700
201201,78754,Large Volume,121229000
201201,78755,Commercial,39200
201201,78756,Austin Water Utility,65200
201201,78756,City of Austin,24100
201201,78756,Commercial,10241300
201201,78756,Irrigation - City of Austin,0
201201,78756,Irrigation - Commercial,388000
201201,78757,City of Austin,129700
201201,78757,Commercial,15812900
201201,78757,Irrigation - City of Austin,69400
201201,78757,Irrigation - Commercial,686000
201201,78758,City of Austin,149400
201201,78758,Commercial,35918200
201201,78758,Irrigation - City of Austin,2140300
201201,78758,Irrigation - Commercial,4215100
201201,78759,Austin Water Utility,0
201201,78759,City of Austin,31100
201201,78759,Commercial,33814000
201201,78759,Irrigation - City of Austin,0
201201,78759,Irrigation - Commercial,6577600
201201,78766,Commercial,5700
201201,78766,Irrigation - Commercial,26000
201202,78613,Commercial,2296300
201202,78613,Irrigation - Commercial,854700
201202,78617,Austin Water Utility,433500
201202,78617,City of Austin,3046600
201202,78617,Commercial,9641400
201202,78617,Irrigation - City of Austin,0
201202,78617,Irrigation - Commercial,343900
201202,78640,Commercial,63800
201202,78652,Commercial,142100
201202,78652,Irrigation - Commercial,41200
201202,78653,Commercial,99500
201202,78653,Irrigation - Commercial,9300
201202,78653,Wholesale,0
201202,78660,Commercial,3433100
201202,78660,Irrigation - Commercial,1125000
201202,78660,Wholesale,23291000
201202,78681,City of Austin,1200
201202,78681,Irrigation - City of Austin,36000
201202,78701,Austin Water Utility,90000
201202,78701,City of Austin,4351900
201202,78701,Commercial,58568200
201202,78701,Irrigation - City of Austin,344000
201202,78701,Irrigation - Commercial,816300
201202,78701,Large Volume,1384000
201202,78702,Austin Water Utility,56000
201202,78702,City of Austin,598500
201202,78702,Commercial,23223800
201202,78702,Irrigation - City of Austin,498300
201202,78702,Irrigation - Commercial,1305100
201202,78703,Austin Water Utility,9700
201202,78703,City of Austin,755200
201202,78703,Commercial,15295100
201202,78703,Irrigation - City of Austin,106000
201202,78703,Irrigation - Commercial,769900
201202,78704,Austin Water Utility,43300
201202,78704,City of Austin,2251200
201202,78704,Commercial,36131100
201202,78704,Irrigation - City of Austin,65600
201202,78704,Irrigation - Commercial,1988300
201202,78705,City of Austin,96500
